loan_account_no,product_description,loan_origination_date,bureau_score,down_payment_amount,branch_name,res_years_at_current_city,res_years_at_current_address,interest_rate,loan_asset_cost,gender,channel,age,number_of_installments,res_city,res_province,total_income,asset_model,industry,nature_of_business,marital_status,manufacturer,occupation_type,res_resident_status,years_in_occupation,has_existing_loan,number_of_dependents,days_past_due,label_determination_date,label_is_mature,TARGET
PH12638242648613819894,Motorcycle Loan,2024-07-04,707,9000,Cubao QC,20,0,14.75,86023,Female,DIRECT,38,18,Quezon City,Metro Manila,8466,TMX 125 Alpha,Transport,Services,Married,Honda,Tricycle/Jeepney Driver,Owned,11,Yes,3,0,2025-01-19,True,0
PH11479880868707720722,Motorcycle Loan,2024-06-09,770,8500,Quiapo Manila,1,1,24.59,71021,Male,DIRECT,25,24,Manila,Metro Manila,11152,TMX 125 Alpha,Transport,Services,Live-in,Honda,Tricycle/Jeepney Driver,Owned,7,Yes,3,25,2024-12-25,True,0
PH16033466362519845396,Motorcycle Loan,2024-07-13,653,14000,Iloilo,2,0,15.56,105222,Male,DEALER,58,24,Iloilo City,Iloilo,16392,Sniper 150,Manufacturing,Manufacturing,Widowed/Separated,Yamaha,Other Self Employed,Rented,4,No,4,136,2024-11-11,True,1
PH10115640021495636705,Motorcycle Loan,2026-03-15,721,11000,Cagayan de Oro,23,8,15.16,75530,Male,DEALER,44,18,Cagayan de Oro,Misamis Oriental,20867,NMAX 155,Retail,Trading,Single,Yamaha,Sari-sari Store Owner,Living with Parents,19,Yes,4,1,2026-09-09,False,0
PH19269830104468822237,Motorcycle Loan,2026-01-04,696,13500,Cubao QC,19,6,21.23,85708,Male,DIRECT,28,36,Quezon City,Metro Manila,37671,Barako II 175,Remittance-dependent,Services,Married,Kawasaki,OFW Dependent,Owned,6,No,0,0,2026-06-03,True,0
PH15525714004232004528,Motorcycle Loan,2025-02-19,718,20500,Cubao QC,13,4,14.28,121969,Female,DIRECT,25,12,Quezon City,Metro Manila,20557,Storm 200,BPO,Services,Married,Rusi,Employed,Living with Parents,7,No,4,5,2025-07-10,True,0
PH16969218796833072611,Motorcycle Loan,2025-10-01,772,9000,General Santos,13,7,22.96,76102,Male,DEALER,48,36,General Santos,South Cotabato,29472,TMX 125 Alpha,Government,Services,Married,Honda,Other Self Employed,Owned,1,Yes,1,9,2026-03-17,True,0
PH12072969494684099015,Motorcycle Loan,2026-02-18,602,7500,Cubao QC,6,3,15.52,65238,Male,DEALER,39,36,Quezon City,Metro Manila,19509,TMX 125 Alpha,Construction,Services,Live-in,Honda,Construction Worker,Living with Parents,14,No,0,27,2026-07-17,False,0
PH19954313992907437610,Motorcycle Loan,2025-08-19,-1,13000,Caloocan,14,0,16.43,111679,Male,DEALER,33,12,Caloocan,Metro Manila,21662,Mio i 125,Construction,Services,Married,Yamaha,Construction Worker,Rented,4,No,0,5,2026-01-08,True,0
PH18639417384839487202,Motorcycle Loan,2025-04-12,592,27500,Cagayan de Oro,30,13,14.54,150770,Male,DIRECT,29,12,Cagayan de Oro,Misamis Oriental,12427,TMX 125 Alpha,Retail,Trading,Married,Honda,Sari-sari Store Owner,Living with Parents,2,Yes,4,168,2025-08-30,True,1
PH19442834346864996942,Motorcycle Loan,2024-11-17,633,10000,Cubao QC,26,18,22.73,72914,Male,DIRECT,41,24,Quezon City,Metro Manila,43708,TMX 125 Alpha,Remittance-dependent,Services,Married,Honda,OFW Dependent,Living with Parents,8,No,2,9,2025-06-07,True,0
PH12569926219378602808,Motorcycle Loan,2026-03-26,-1,5500,Cagayan de Oro,28,4,23.58,46542,Male,DEALER,29,18,Cagayan de Oro,Misamis Oriental,35337,Mio Aerox,Manufacturing,Manufacturing,Married,Yamaha,Employed,Owned,0,No,1,11,2026-08-23,False,0
PH17479397914835080432,Motorcycle Loan,2025-06-11,-1,15500,Cagayan de Oro,14,14,14.15,91732,Male,ONLINE,49,18,Cagayan de Oro,Misamis Oriental,16910,Storm 200,Construction,Services,Widowed/Separated,Rusi,Construction Worker,Owned,2,No,0,24,2025-12-23,True,0
PH14449920480230071769,Motorcycle Loan,2025-03-24,560,10500,Iloilo,21,16,19.71,71015,Female,DIRECT,42,24,Iloilo City,Iloilo,12871,Storm 200,Retail,Trading,Live-in,Rusi,Sari-sari Store Owner,Owned,2,Yes,0,168,2025-07-14,True,1
PH10769204397090374154,Motorcycle Loan,2025-07-31,634,13500,Cebu City,6,5,20.3,129198,Male,DIRECT,29,36,Cebu City,Cebu,23427,Mio Aerox,Remittance-dependent,Services,Single,Yamaha,OFW Dependent,Rented,1,No,2,18,2026-01-04,True,0
PH15048910989885709307,Motorcycle Loan,2024-12-17,-1,13500,Cubao QC,2,2,16.48,81637,Male,DEALER,28,36,Quezon City,Metro Manila,8760,NMAX 155,Transport,Services,Single,Yamaha,Tricycle/Jeepney Driver,Living with Parents,9,Yes,5,246,2025-04-06,True,1
PH19803839281351770298,Motorcycle Loan,2025-09-04,660,15500,Caloocan,27,12,22.97,125034,Male,DEALER,39,24,Caloocan,Metro Manila,16150,Mio i 125,Transport,Services,Live-in,Yamaha,Tricycle/Jeepney Driver,Living with Parents,18,Yes,1,0,2026-03-28,True,0
PH15507528179245953230,Motorcycle Loan,2026-05-31,-1,5500,Cubao QC,22,8,15.7,46605,Female,DIRECT,23,18,Quezon City,Metro Manila,21504,Beat 110,Construction,Services,Married,Honda,Construction Worker,Owned,4,No,0,27,2026-12-15,False,0
PH14781220757842444293,Motorcycle Loan,2025-10-11,687,22500,Caloocan,1,1,24.86,155745,Male,DIRECT,31,24,Caloocan,Metro Manila,9828,Mio i 125,Transport,Services,Married,Yamaha,Tricycle/Jeepney Driver,Owned,0,Yes,3,148,2026-02-27,True,1
PH10363580460351949055,Motorcycle Loan,2025-01-20,-1,14000,Cubao QC,13,4,23.68,91526,Male,DIRECT,25,24,Quezon City,Metro Manila,21789,DLX 110,Retail,Trading,Widowed/Separated,Rusi,Sari-sari Store Owner,Owned,2,No,2,9,2025-06-03,True,0
PH10733474790985278560,Motorcycle Loan,2025-11-06,592,24500,Cebu City,29,9,19.78,145442,Male,DEALER,32,36,Cebu City,Cebu,32382,Mio Aerox,Retail,Trading,Married,Yamaha,Employed,Living with Parents,6,No,6,1,2026-06-02,True,0
PH16354700591406038035,Motorcycle Loan,2024-08-09,666,6500,Quiapo Manila,19,10,19.84,47708,Female,DIRECT,40,18,Manila,Metro Manila,9854,Beat 110,Manufacturing,Manufacturing,Widowed/Separated,Honda,Other Self Employed,Owned,1,No,3,1,2024-12-31,True,0
PH19921066167086276758,Motorcycle Loan,2026-04-10,717,5000,Cagayan de Oro,18,14,19.63,47079,Male,DEALER,24,18,Cagayan de Oro,Misamis Oriental,21181,Skydrive 125,Construction,Services,Single,Suzuki,Construction Worker,Owned,0,No,3,1,2026-08-10,False,0
PH14391266344581423957,Motorcycle Loan,2025-01-06,762,12500,Iloilo,17,6,17.27,88922,Male,DIRECT,25,24,Iloilo City,Iloilo,10143,TMX 125,Transport,Services,Single,TMX,Tricycle/Jeepney Driver,Owned,4,Yes,0,4,2025-05-06,True,0
PH14859649548571846909,Motorcycle Loan,2026-05-01,-1,6500,Quiapo Manila,25,25,20.38,47599,Male,ONLINE,40,24,Manila,Metro Manila,46529,Click 125i,BPO,Services,Widowed/Separated,Honda,Employed,Owned,4,Yes,6,5,2026-09-14,False,0
PH19148870087986221425,Motorcycle Loan,2025-01-13,776,13000,Cubao QC,23,21,24.33,66874,Female,DEALER,19,24,Quezon City,Metro Manila,9386,Click 125i,Transport,Services,Married,Honda,Tricycle/Jeepney Driver,Owned,1,Yes,1,0,2025-07-24,True,0
PH14682716136219607212,Motorcycle Loan,2025-09-27,747,20000,Davao,11,10,24.74,121344,Male,DEALER,34,36,Davao City,Davao del Sur,28491,NMAX 155,BPO,Services,Widowed/Separated,Yamaha,Other Self Employed,Rented,14,Yes,3,6,2026-01-31,True,0
PH14878986340027131480,Motorcycle Loan,2025-02-12,675,18500,Caloocan,1,1,17.42,97345,Male,DIRECT,56,24,Caloocan,Metro Manila,16640,NMAX 155,Retail,Trading,Married,Yamaha,Sari-sari Store Owner,Living with Parents,17,No,4,3,2025-08-12,True,0
PH15608239092110722578,Motorcycle Loan,2025-01-03,748,9500,General Santos,19,18,24.88,49805,Male,DEALER,41,18,General Santos,South Cotabato,9828,Raider R150,Transport,Services,Single,Suzuki,Tricycle/Jeepney Driver,Living with Parents,1,No,0,13,2025-05-07,True,0
PH12927717057270884935,Motorcycle Loan,2024-10-19,-1,14000,Davao,1,1,24.1,135931,Male,DEALER,58,24,Davao City,Davao del Sur,20874,TMX 125 Alpha,Retail,Trading,Married,Honda,Sari-sari Store Owner,Living with Parents,4,Yes,3,0,2025-03-27,True,0
PH19814533313050950597,Motorcycle Loan,2025-04-16,770,10000,Quiapo Manila,12,10,15.35,54766,Female,ONLINE,48,18,Manila,Metro Manila,22561,Barako II 175,Remittance-dependent,Services,Widowed/Separated,Kawasaki,OFW Dependent,Owned,1,No,3,0,2025-10-23,True,0
PH13520744352842095120,Motorcycle Loan,2026-01-25,607,21000,Quiapo Manila,1,0,12.0,141598,Female,ONLINE,46,18,Manila,Metro Manila,18954,ADV 160,Retail,Trading,Widowed/Separated,Honda,Sari-sari Store Owner,Living with Parents,8,Yes,4,1,2026-07-10,False,0
PH18554417707411580587,Motorcycle Loan,2024-07-26,748,17500,Davao,20,2,20.13,118782,Male,DIRECT,33,18,Davao City,Davao del Sur,17179,TMX 125 Alpha,Construction,Services,Married,Honda,Construction Worker,Owned,13,Yes,0,4,2025-01-09,True,0
PH10725858681771363359,Motorcycle Loan,2026-02-18,646,18500,Caloocan,12,0,18.72,105488,Female,DEALER,29,12,Caloocan,Metro Manila,13791,Click 125i,Government,Services,Live-in,Honda,Other Self Employed,Living with Parents,6,Yes,3,13,2026-07-31,False,0
PH15060497343371028394,Motorcycle Loan,2024-06-20,722,8000,Iloilo,22,18,14.36,58612,Male,DEALER,31,24,Iloilo City,Iloilo,15179,Click 125i,Transport,Services,Married,Honda,Tricycle/Jeepney Driver,Living with Parents,2,Yes,6,8,2024-11-21,True,0
PH13165088124407736925,Motorcycle Loan,2025-10-16,649,8000,Cubao QC,11,1,23.81,66116,Male,DEALER,53,18,Quezon City,Metro Manila,22201,TMX 125,Retail,Trading,Married,TMX,Sari-sari Store Owner,Rented,12,No,0,7,2026-05-12,True,0
PH13906254440029341718,Motorcycle Loan,2025-01-09,724,12000,Quiapo Manila,16,11,20.62,86959,Male,DEALER,47,24,Manila,Metro Manila,14276,TMX 125 Alpha,Transport,Services,Single,Honda,Tricycle/Jeepney Driver,Rented,5,Yes,0,0,2025-06-14,True,0
